Item,USDM JSONata path,FHIR resourceType,FHIR path,FHIR Index level,USDM class,USDM attribute
Group low timing range,"study.versions@$sv.(
  $sv.studyDesigns.eligibilityCriteria@$ex.(
  $respIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].id;
  $nodeIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponseNode/class1"" and extensionAttributes.extensionAttributes[valueId in $respIds]].id;
  $toDays := function($d) {
    $contains($d, ""W"") ? $number($replace($replace($d, ""P"", """"), ""W"", """")) * 7 :
    $contains($d, ""Y"") ? $number($replace($replace($d, ""P"", """"), ""Y"", """")) * 365 :
    $number($replace($replace($d, ""P"", """"), ""D"", """"))  };$GetResult := function($id){$sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].extensionAttributes[url=""https://cdisc.org/usdm/extension-ExpResponse-1/attribute-atTiming""].valueId};
  $lowDays := function($t, $v, $l) { $t = ""C201357"" ? -($toDays($v) + $toDays($l)) :    $t = ""C201356"" ? $toDays($v) - $toDays($l) :    0};
  $RefId := $nodeIds ? $nodeIds : $respIds; 
  $timeArray := $nodeIds ? $GetResult($nodeIds) : $GetResult($respIds); 
  $lowerArray := $timeArray@$tId.(
      $tm := $sv.studyDesigns.scheduleTimelines.timings[id = $tId];
      $lowDays($tm.type.code, $tm.value, $tm.windowLower)
    );
  {$RefId: [$lowerArray]}))",Group,characteristic.relativeTime.offsetRange.low.value,characteristic,ExpectedResponse,atTiming
Group low timing unit,"study.versions@$sv.(
  $sv.studyDesigns.eligibilityCriteria@$ex.(
  $respIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].id;
  $nodeIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponseNode/class1"" and extensionAttributes.extensionAttributes[valueId in $respIds]].id;
  $GetResult := function($id){$sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].extensionAttributes[url=""https://cdisc.org/usdm/extension-ExpResponse-1/attribute-atTiming""].valueId};
  $RefId := $nodeIds ? $nodeIds : $respIds; 
  $timeArray := $nodeIds ? $GetResult($nodeIds) : $GetResult($respIds); 
  $dArray := $timeArray@$tId.('d');
  {$RefId: [$dArray]}))",Group,characteristic.relativeTime.offsetRange.low.unit,characteristic,ExpectedResponse,atTiming
Group high timing range,"study.versions@$sv.(
  $sv.studyDesigns.eligibilityCriteria@$ex.(
  $respIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].id;
  $nodeIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponseNode/class1"" and extensionAttributes.extensionAttributes[valueId in $respIds]].id;
  $toDays := function($d) {
    $contains($d, ""W"") ? $number($replace($replace($d, ""P"", """"), ""W"", """")) * 7 :
    $contains($d, ""Y"") ? $number($replace($replace($d, ""P"", """"), ""Y"", """")) * 365 :
    $number($replace($replace($d, ""P"", """"), ""D"", """"))  };$GetResult := function($id){$sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].extensionAttributes[url=""https://cdisc.org/usdm/extension-ExpResponse-1/attribute-atTiming""].valueId};
  $highDays := function($t, $v, $u) { $t = ""C201357"" ? -$toDays($v) + $toDays($u) :    $t = ""C201356"" ? $toDays($v) + $toDays($u) :    0  };
  $RefId := $nodeIds ? $nodeIds : $respIds; 
  $timeArray := $nodeIds ? $GetResult($nodeIds) : $GetResult($respIds); 
  $upperArray := $timeArray@$tId.(
      $tm := $sv.studyDesigns.scheduleTimelines.timings[id = $tId];
      $highDays($tm.type.code, $tm.value, $tm.windowUpper)
    );
  {$RefId: [$upperArray]}))",Group,characteristic.relativeTime.offsetRange.high.value,characteristic,ExpectedResponse,atTiming
Group high timing unit,"study.versions@$sv.(
  $sv.studyDesigns.eligibilityCriteria@$ex.(
  $respIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].id;
  $nodeIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponseNode/class1"" and extensionAttributes.extensionAttributes[valueId in $respIds]].id;
  $GetResult := function($id){$sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].extensionAttributes[url=""https://cdisc.org/usdm/extension-ExpResponse-1/attribute-atTiming""].valueId};
  $RefId := $nodeIds ? $nodeIds : $respIds; 
  $timeArray := $nodeIds ? $GetResult($nodeIds) : $GetResult($respIds); 
  $dArray := $timeArray@$tId.('d');
  {$RefId: [$dArray]}))",Group,characteristic.relativeTime.offsetRange.high.unit,characteristic,ExpectedResponse,atTiming
relative time context code,"study.versions@$sv.(
  $sv.studyDesigns.eligibilityCriteria@$ex.(
  $respIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].id;
  $nodeIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponseNode/class1"" and extensionAttributes.extensionAttributes[valueId in $respIds]].id;
  $GetResult := function($id){$sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].extensionAttributes[url=""https://cdisc.org/usdm/extension-ExpResponse-1/attribute-atTiming""].valueId};
  $RefId := $nodeIds ? $nodeIds : $respIds; 
  $timeArray := $nodeIds ? $GetResult($nodeIds) : $GetResult($respIds); 
  $dArray := $timeArray@$tId.(""709491003"");
  {$RefId: [$dArray]}))",Group,characteristic.relativeTime.contextCode.coding.code,characteristic,,
relative time context display,"study.versions@$sv.(
  $sv.studyDesigns.eligibilityCriteria@$ex.(
  $respIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].id;
  $nodeIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponseNode/class1"" and extensionAttributes.extensionAttributes[valueId in $respIds]].id;
  $GetResult := function($id){$sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].extensionAttributes[url=""https://cdisc.org/usdm/extension-ExpResponse-1/attribute-atTiming""].valueId};
  $RefId := $nodeIds ? $nodeIds : $respIds; 
  $timeArray := $nodeIds ? $GetResult($nodeIds) : $GetResult($respIds); 
  $dArray := $timeArray@$tId.(""Enrollment in clinical trial"");
  {$RefId: [$dArray]}))",Group,characteristic.relativeTime.contextCode.coding.display,characteristic,,
relative time context system,"study.versions@$sv.(
  $sv.studyDesigns.eligibilityCriteria@$ex.(
  $respIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].id;
  $nodeIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponseNode/class1"" and extensionAttributes.extensionAttributes[valueId in $respIds]].id;
  $GetResult := function($id){$sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].extensionAttributes[url=""https://cdisc.org/usdm/extension-ExpResponse-1/attribute-atTiming""].valueId};
  $RefId := $nodeIds ? $nodeIds : $respIds; 
  $timeArray := $nodeIds ? $GetResult($nodeIds) : $GetResult($respIds); 
  $dArray := $timeArray@$tId.(""http://snomed.info/sct"");
  {$RefId: [$dArray]}))",Group,characteristic.relativeTime.contextCode.coding.system,characteristic,,
Exclusion criterion true or false?,"study.versions@$sv.(
  $sv.studyDesigns.eligibilityCriteria@$ex.(
  $respIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].id;
  $nodeIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponseNode/class1"" and extensionAttributes.extensionAttributes[valueId in $respIds]].id;
  $GetResult := function($id){$sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].extensionAttributes[url=""https://cdisc.org/usdm/extension-ExpResponse-1/attribute-subCategory""].valueCode.(code=""C25370"")};
  $RefId := $nodeIds ? $nodeIds : $respIds; 
  $result := $nodeIds ? $GetResult($nodeIds) : $GetResult($respIds); 
  {$RefId: [$result]}))",Group,characteristic.exclude,characteristic,EligibilityCriterion,category
Loinc Code of assessment,"study.versions@$sv.(
  $sv.studyDesigns.eligibilityCriteria@$ex.(
  $respIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].id;
  $nodeIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponseNode/class1"" and extensionAttributes.extensionAttributes[valueId in $respIds]].id;
  $GetResult := function($id){$sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].
extensionAttributes[url=""https://cdisc.org/usdm/extension-ExpResponse-1/attribute-forAssessment""].valueId};
  $RefId := $nodeIds ? $nodeIds : $respIds; 
  $bcArray := $nodeIds ? $GetResult($nodeIds) : $GetResult($respIds); 
  $cdArray := $bcArray@$tId.($sv.biomedicalConcepts[id = $tId].code.standardCodeAliases[codeSystem=""http://loinc.org""].{""code"": code, ""display"": decode, ""system"": codeSystem});
  {$RefId: [$cdArray]}))",Group,characteristic.code.coding,characteristic,BiomedicalConcept,code
,,,,,,
,,,,,,
